tab,cell,entity,company,field,current,new,needs_reference_addition,note
Lease Comps,V10,LC-0002,GlossGenius,lr_amt_M,28.0,44,,
Lease Comps,W10,LC-0002,GlossGenius,total_fund_M,72.2,125,,
Lease Comps,T70,LC-0062,Grammarly,lr_date,2024-03-01,2021-11-01,,
Lease Comps,V70,LC-0062,Grammarly,lr_amt_M,145.0,200,,
Lease Comps,T74,LC-0066,Kalshi,lr_date,2025-11-01,2026-05-07,,
Lease Comps,U74,LC-0066,Kalshi,lr_type,Late Stage Venture,Series F,,
Lease Comps,W74,LC-0066,Kalshi,total_fund_M,2600.0,2800,,
Lease Comps,T52,LC-0044,Legora,lr_date,2026-03-01,2026-04-30,,
Lease Comps,V52,LC-0044,Legora,lr_amt_M,550.0,50,,
Lease Comps,W52,LC-0044,Legora,total_fund_M,816.0,866,,
Lease Comps,T85,LC-0077,Maven Clinic,lr_date,2024-09-01,2024-10-08,,
Lease Comps,U85,LC-0077,Maven Clinic,lr_type,Late Stage Venture,Series F,,
Companies,G51,CO-0050,Mirage,hq,SF,NY,,pass-2 dual-source correction
Lease Comps,AA104,LC-0096,Mirage,hq,SF,NY,,
Lease Comps,T66,LC-0058,Modal Labs,lr_date,2025-09-01,2026-05-21,,
Lease Comps,U66,LC-0058,Modal Labs,lr_type,Series B,Series C,,
Lease Comps,V66,LC-0058,Modal Labs,lr_amt_M,87.0,355.0,,
Lease Comps,W66,LC-0058,Modal Labs,total_fund_M,110.5,466.0,,
Lease Comps,T2,LC-0103,Moment,lr_date,,2026-05-19,,
Lease Comps,U2,LC-0103,Moment,lr_type,,Series C,,
Lease Comps,V2,LC-0103,Moment,lr_amt_M,,78.0,,
Lease Comps,W2,LC-0103,Moment,total_fund_M,,134.0,,
Lease Comps,T53,LC-0045,Moment,lr_date,2025-07-01,2026-05-19,,
Lease Comps,U53,LC-0045,Moment,lr_type,Series B,Series C,,
Lease Comps,V53,LC-0045,Moment,lr_amt_M,36.0,78.0,,
Lease Comps,W53,LC-0045,Moment,total_fund_M,56.0,134.0,,
Lease Comps,T24,LC-0016,NormAI,lr_date,2025-11-01,2026-07-07,,
Lease Comps,U24,LC-0016,NormAI,lr_type,Private Equity,Series C,,
Lease Comps,V24,LC-0016,NormAI,lr_amt_M,50.0,120.0,,
Lease Comps,W24,LC-0016,NormAI,total_fund_M,136.1,260.0,,
Lease Comps,T46,LC-0038,Notion,lr_date,2021-09-01,2021-10-08,,
Lease Comps,U46,LC-0038,Notion,lr_type,Late Stage Venture,Series C,,
Lease Comps,W46,LC-0038,Notion,total_fund_M,418.0,343.2,,
Companies,G58,CO-0057,Nourish,hq,Austin,NY,,pass-2 dual-source correction
Lease Comps,AA78,LC-0070,Nourish,hq,Austin,NY,,
Lease Comps,T78,LC-0070,Nourish,lr_date,2025-04-01,2026-05-12,,
Lease Comps,U78,LC-0070,Nourish,lr_type,Series B,Series C,,
Lease Comps,V78,LC-0070,Nourish,lr_amt_M,70.0,100,,
Lease Comps,W78,LC-0070,Nourish,total_fund_M,115.0,215,,
Companies,G61,CO-0060,Paradigm,hq,NY,Columbus,,pass-2 dual-source correction
Lease Comps,AA88,LC-0080,Paradigm,hq,NY,Columbus,,
Lease Comps,T95,LC-0087,Peregrine,lr_date,2025-03-01,2026-06-22,,
Lease Comps,U95,LC-0087,Peregrine,lr_type,Series C,Series D,,
Lease Comps,V95,LC-0087,Peregrine,lr_amt_M,190.0,250,,
Lease Comps,W95,LC-0087,Peregrine,total_fund_M,220.0,470,,
Lease Comps,T47,LC-0039,Perplexity,lr_date,2025-09-01,2026-01-09,,
Lease Comps,U47,LC-0039,Perplexity,lr_type,Late Stage Venture,Series E,,
Lease Comps,V47,LC-0039,Perplexity,lr_amt_M,200.0,,,
Lease Comps,T54,LC-0046,Polymarket,lr_date,2025-07-01,2026-04-20,,
Lease Comps,U54,LC-0046,Polymarket,lr_type,Late Stage Venture,Series E,,
Lease Comps,V54,LC-0046,Polymarket,lr_amt_M,150.0,1000,,
Lease Comps,T82,LC-0074,Privy,lr_date,2023-11-01,2025-03-19,,
Lease Comps,U82,LC-0074,Privy,lr_type,Series A,Venture - Series Unknown,,Venture - Series Unknown (Crunchbase's own round page slug is 'series-unknown')
Lease Comps,V82,LC-0074,Privy,lr_amt_M,18.0,15,,
Lease Comps,W96,LC-0088,Radar Labs,total_fund_M,103.0,85.5,,
Lease Comps,T27,LC-0019,Ramp,lr_date,2025-07-01,2026-06-04,,
Lease Comps,U27,LC-0019,Ramp,lr_type,Late Stage Venture,Series F,,
Lease Comps,V27,LC-0019,Ramp,lr_amt_M,500.0,750,,
Lease Comps,W27,LC-0019,Ramp,total_fund_M,2300.0,3000,,
Lease Comps,T5,LC-0099,Rogo,lr_date,2026-01-28,2026-04-29,,
Lease Comps,U5,LC-0099,Rogo,lr_type,Series C,Series D,,
Lease Comps,V5,LC-0099,Rogo,lr_amt_M,75.0,160,,
Lease Comps,W5,LC-0099,Rogo,total_fund_M,151.0,311,,
Lease Comps,T68,LC-0060,Rogo,lr_date,2026-01-01,2026-04-29,,
Lease Comps,U68,LC-0060,Rogo,lr_type,Series C,Series D,,
Lease Comps,V68,LC-0060,Rogo,lr_amt_M,75.0,160,,
Lease Comps,W68,LC-0060,Rogo,total_fund_M,165.0,311,,
Lease Comps,T62,LC-0054,Scale AI,lr_date,2025-06-01,2024-05-21,,
Lease Comps,U62,LC-0054,Scale AI,lr_type,Late Stage Venture,Series F,,
Lease Comps,V62,LC-0054,Scale AI,lr_amt_M,14300.0,1000,,
Lease Comps,W62,LC-0054,Scale AI,total_fund_M,15900.0,1600,,
Lease Comps,T23,LC-0015,Sierra AI,lr_date,2025-09-01,2026-05-04,,
Lease Comps,U23,LC-0015,Sierra AI,lr_type,Series C,Series E,,
Lease Comps,V23,LC-0015,Sierra AI,lr_amt_M,350.0,950,,
Lease Comps,W23,LC-0015,Sierra AI,total_fund_M,635.0,1585,,
Lease Comps,T71,LC-0063,Sierra AI,lr_date,2025-09-01,2026-05-04,,
Lease Comps,U71,LC-0063,Sierra AI,lr_type,Late Stage Venture,Series E,,
Lease Comps,V71,LC-0063,Sierra AI,lr_amt_M,350.0,950,,
Lease Comps,W71,LC-0063,Sierra AI,total_fund_M,635.0,1585,,
Lease Comps,T101,LC-0093,Sigma Computing,lr_date,2024-05-01,2026-05-18,,
Lease Comps,U101,LC-0093,Sigma Computing,lr_type,Series D,Series E,,
Lease Comps,V101,LC-0093,Sigma Computing,lr_amt_M,200.0,80,,
Lease Comps,W101,LC-0093,Sigma Computing,total_fund_M,632.0,712,,
Lease Comps,T20,LC-0012,Synthesia,lr_date,2025-10-01,2026-01-26,,
Lease Comps,T91,LC-0083,Synthesia,lr_date,2025-10-01,2026-01-26,,
Lease Comps,U91,LC-0083,Synthesia,lr_type,Late Stage Venture,Series E,,
Companies,G83,CO-0082,Tempo Labs,hq,,Toronto,,pass-2 dual-source correction
Lease Comps,AA15,LC-0007,Tempo Labs,hq,,Toronto,,
Lease Comps,T15,LC-0007,Tempo Labs,lr_date,,2025-10-01,,
Lease Comps,U15,LC-0007,Tempo Labs,lr_type,,Seed,,Seed
Lease Comps,V15,LC-0007,Tempo Labs,lr_amt_M,,5,,
Lease Comps,W15,LC-0007,Tempo Labs,total_fund_M,,5.5,,
Lease Comps,T73,LC-0065,The Farmer's Dog,lr_date,2022-01-01,2022-06-08,,
Lease Comps,U73,LC-0065,The Farmer's Dog,lr_type,Series C,Series E,,
Lease Comps,V73,LC-0065,The Farmer's Dog,lr_amt_M,275.0,100,,
Lease Comps,W73,LC-0065,The Farmer's Dog,total_fund_M,430.0,268,,
Lease Comps,T48,LC-0040,Traversal,lr_date,2026-03-01,2026-03-04,,
Lease Comps,U48,LC-0040,Traversal,lr_type,Series A,Venture - Series Unknown,,"Corporate Round (strategic investment, Amex Ventures) — latest event; latest PRIMARY round: Series A"
Lease Comps,V48,LC-0040,Traversal,lr_amt_M,5.0,,,
Lease Comps,T26,LC-0018,Verkada,lr_date,2025-12-01,2025-12-03,,
Lease Comps,U26,LC-0018,Verkada,lr_type,Venture - Series Unknown,Series E,,extension of Series E
Lease Comps,V26,LC-0018,Verkada,lr_amt_M,20.0,100,,
Lease Comps,W26,LC-0018,Verkada,total_fund_M,814.0,745,,
Lease Comps,AB8,LC-0098,Warp,notes,(see sheet),NEEDS IDENTITY DECISION,,"Sheet conflates warp.dev with Warp payroll (two CB URLs). Funding data matches payroll co (Series A $18M Jun 2025, ~$24M). Confirm which company signed before patching."
Lease Comps,AB81,LC-0073,Warp,notes,(see sheet),NEEDS IDENTITY DECISION,,"Sheet conflates warp.dev with Warp payroll (two CB URLs). Funding data matches payroll co (Series A $18M Jun 2025, ~$24M). Confirm which company signed before patching."
Lease Comps,T37,LC-0029,Whatnot,lr_date,2025-10-01,2026-08-07,,
Lease Comps,U37,LC-0029,Whatnot,lr_type,Late Stage Venture,Series G,YES,
Lease Comps,V37,LC-0029,Whatnot,lr_amt_M,225.0,545,,
Lease Comps,W37,LC-0029,Whatnot,total_fund_M,968.0,1520,,
Lease Comps,T93,LC-0085,Faire,lr_date,2025-11-01,2022-05-01,,"Faire: Nov 2025 '$100M Series I' is the WCM secondary tender, not primary. Latest primary = May 2022 Series G ext ~$416M. Requires 'Series G' in Reference."
Lease Comps,U93,LC-0085,Faire,lr_type,Late Stage Venture,Series G,YES,
Lease Comps,V93,LC-0085,Faire,lr_amt_M,100.0,416,,
Lease Comps,T60,LC-0052,Harvey AI,lr_date,2026-03-01,2026-07-15,,Harvey: Jul/Aug 2026 Goldman Sachs/J.P. Morgan investment (undisclosed; Tracxn 'Series G') supersedes Mar 2026 $200M. Amount unknown → blank. Date approximate — verify before applying.
Lease Comps,U60,LC-0052,Harvey AI,lr_type,Late Stage Venture,Venture - Series Unknown,,
Lease Comps,V60,LC-0052,Harvey AI,lr_amt_M,200.0,,,
Lease Comps,T61,LC-0053,Harvey AI,lr_date,2026-03-01,2026-07-15,,Harvey: Jul/Aug 2026 Goldman Sachs/J.P. Morgan investment (undisclosed; Tracxn 'Series G') supersedes Mar 2026 $200M. Amount unknown → blank. Date approximate — verify before applying.
Lease Comps,U61,LC-0053,Harvey AI,lr_type,Late Stage Venture,Venture - Series Unknown,,
Lease Comps,V61,LC-0053,Harvey AI,lr_amt_M,200.0,,,
